faculty_id,faculty_name_ar,faculty_name_en,program_id,program_name_ar,program_name_en,previous_coverage_state,final_coverage_state,planner_data_key,final_classification,change_type,source_url_ar,source_url_en,additional_source_url_ar,additional_source_url_en,levels_ar,levels_en,scheduled_rows_ar,scheduled_rows_en,credits_ar,credits_en,prerequisites_ar,prerequisites_en,electives_ar,electives_en,training_ar,training_en,projects_ar,projects_en,official_total_credits_ar,official_total_credits_en,decision_evidence_or_blocker
EA,الاقتصاد والادارة,economics and administration,catalog-economics-and-administration-bachelor-of-health-services-and-hospital-administrati,بكالوريوس إدارة الخدمات الصحية والمستشفيات,Bachelor of Health Services and Hospital Administration (BA-HSA),FULL_PLANNER,FULL_PLANNER,catalog-economics-and-administration-bachelor-of-health-services-and-hospital-administrati,F. ALREADY_SUPPORTED,none,https://kau.edu.sa/ar/programs/bachelor-of-health-services-and-hospital-administration-ba-hsa,https://kau.edu.sa/en/programs/bachelor-of-health-services-and-hospital-administration-ba-hsa,,,8,8,30,30,True,True,False,False,True,True,True,True,False,False,,125,Already represented as FULL_PLANNER before this wave; academic and runtime data were left unchanged.
EA,الاقتصاد والادارة,economics and administration,public-administration,بكالوريوس الإدارة العامة,Bachelor of Public Administration,FULL_PLANNER,FULL_PLANNER,public-administration,F. ALREADY_SUPPORTED,none,https://kau.edu.sa/ar/programs/bachelor-of-public-administration,https://kau.edu.sa/en/programs/bachelor-of-public-administration,,,8,8,42,42,True,True,True,True,True,True,True,True,False,False,,125,Already represented as FULL_PLANNER before this wave; academic and runtime data were left unchanged.
EA,الاقتصاد والادارة,economics and administration,accounting,بكالوريوس العلوم في المحاسبة,Bachelor of Science in Accounting,FULL_PLANNER,FULL_PLANNER,accounting,F. ALREADY_SUPPORTED,none,https://kau.edu.sa/ar/programs/bachelor-of-science-in-accounting,https://kau.edu.sa/en/programs/bachelor-of-science-in-accounting,,,8,8,43,43,True,True,True,True,True,True,True,True,True,True,,125,Already represented as FULL_PLANNER before this wave; academic and runtime data were left unchanged.
EA,الاقتصاد والادارة,economics and administration,business-administration,بكالوريوس العلوم في ادارة الأعمال,Bachelor of Science in Business Administration,FULL_PLANNER,FULL_PLANNER,business-administration,F. ALREADY_SUPPORTED,none,https://kau.edu.sa/ar/programs/bachelor-of-science-in-business-administration,https://kau.edu.sa/en/programs/bachelor-of-science-in-business-administration,,,8,8,43,43,True,True,True,True,True,True,True,True,True,True,,125,Already represented as FULL_PLANNER before this wave; academic and runtime data were left unchanged.
EA,الاقتصاد والادارة,economics and administration,finance,بكالوريوس في العلوم في تخصص المالية,Bachelor of Science in Finance,FULL_PLANNER,FULL_PLANNER,finance,F. ALREADY_SUPPORTED,none,https://kau.edu.sa/ar/programs/bachelor-of-science-in-finance,https://kau.edu.sa/en/programs/bachelor-of-science-in-finance,,,8,8,44,44,True,True,True,True,True,True,False,False,True,True,,125,Already represented as FULL_PLANNER before this wave; academic and runtime data were left unchanged.
EA,الاقتصاد والادارة,economics and administration,human-resources,بكالوريوس العلوم في إدارة الموارد البشرية,Bachelor of Science in Human Resource Management,FULL_PLANNER,FULL_PLANNER,human-resources,F. ALREADY_SUPPORTED,none,https://kau.edu.sa/ar/programs/bachelor-of-science-in-human-resource-management,https://kau.edu.sa/en/programs/bachelor-of-science-in-human-resource-management,,,8,8,42,42,True,True,True,True,True,True,True,True,True,True,,125,Already represented as FULL_PLANNER before this wave; academic and runtime data were left unchanged.
EA,الاقتصاد والادارة,economics and administration,management-information-systems,بكالوريوس نظم المعلومات الادارية,Bachelor of Science in Management Information Systems,FULL_PLANNER,FULL_PLANNER,management-information-systems,F. ALREADY_SUPPORTED,none,https://kau.edu.sa/ar/programs/bachelor-of-science-in-management-information-systems,https://kau.edu.sa/en/programs/bachelor-of-science-in-management-information-systems,,,8,8,43,43,True,True,True,True,True,True,True,True,True,True,,125,Already represented as FULL_PLANNER before this wave; academic and runtime data were left unchanged.
EA,الاقتصاد والادارة,economics and administration,economics,بكالوريوس الاقتصاد,Bachelors of Economics,FULL_PLANNER,FULL_PLANNER,economics,F. ALREADY_SUPPORTED,none,https://kau.edu.sa/ar/programs/bachelors-of-economics,https://kau.edu.sa/en/programs/bachelors-of-economics,,,8,8,37,37,True,True,True,True,True,True,True,True,False,False,,125,Already represented as FULL_PLANNER before this wave; academic and runtime data were left unchanged.
EA,الاقتصاد والادارة,economics and administration,marketing,بكالوريوس التسويق,Bachelor’s Degree in Marketing,FULL_PLANNER,FULL_PLANNER,marketing,F. ALREADY_SUPPORTED,none,https://kau.edu.sa/ar/programs/bachelors-degree-in-marketing,https://kau.edu.sa/en/programs/bachelors-degree-in-marketing,,,8,8,43,43,True,True,True,True,True,True,True,True,True,True,,125,Already represented as FULL_PLANNER before this wave; academic and runtime data were left unchanged.
EA,الاقتصاد والادارة,economics and administration,catalog-political-science,بكالوريوس العلوم السياسية,Political Science,OFFICIAL_PLAN_VIEW,OFFICIAL_PLAN_VIEW,,F. ALREADY_SUPPORTED,none,https://kau.edu.sa/ar/programs/political-science,https://kau.edu.sa/en/programs/political-science,,,8,8,46,46,True,True,True,True,True,True,True,True,False,False,,,Already represented as OFFICIAL_PLAN_VIEW before this wave; academic and runtime data were left unchanged.
AH,الآداب و العلوم الإنسانية,Arts and Humanities,catalog-bachelor-in-french-language-translation,البكالوريوس في اللغة الفرنسية والترجمة,Bachelor in French Language & Translation,OFFICIAL_PLAN_VIEW,OFFICIAL_PLAN_VIEW,,F. ALREADY_SUPPORTED,none,https://kau.edu.sa/ar/programs/bachelor-in-french-language-translation,https://kau.edu.sa/en/programs/bachelor-in-french-language-translation,,,12,12,139,139,True,True,True,True,True,True,True,False,False,False,,,Already represented as OFFICIAL_PLAN_VIEW before this wave; academic and runtime data were left unchanged.
AH,الآداب و العلوم الإنسانية,Arts and Humanities,catalog-arts-and-humanities-bachelor-of-arabic-language,البكالوريوس في اللغة العربية وآدابها,Bachelor of Arabic Language,FULL_PLANNER,FULL_PLANNER,catalog-arts-and-humanities-bachelor-of-arabic-language,F. ALREADY_SUPPORTED,none,https://kau.edu.sa/ar/programs/bachelor-of-arabic-language,https://kau.edu.sa/en/programs/bachelor-of-arabic-language,,,12,12,98,98,True,True,True,True,True,True,True,False,False,False,,,Already represented as FULL_PLANNER before this wave; academic and runtime data were left unchanged.
AH,الآداب و العلوم الإنسانية,Arts and Humanities,catalog-chinese-language,البكالوريوس في اللغة الصينية,Bachelor of Chinese Language,OFFICIAL_PLAN_VIEW,OFFICIAL_PLAN_VIEW,,F. ALREADY_SUPPORTED,none,https://kau.edu.sa/ar/programs/chinese-language,https://kau.edu.sa/en/programs/chinese-language,,,10,10,76,76,True,True,True,True,True,True,True,False,False,False,,,Already represented as OFFICIAL_PLAN_VIEW before this wave; academic and runtime data were left unchanged.
AH,الآداب و العلوم الإنسانية,Arts and Humanities,catalog-counseling-psychology,البكالوريوس في علم النفس الإرشادي,Bachelor of Counseling Psychology,OFFICIAL_PLAN_VIEW,OFFICIAL_PLAN_VIEW,,F. ALREADY_SUPPORTED,none,https://kau.edu.sa/ar/programs/counseling-psychology,https://kau.edu.sa/en/programs/counseling-psychology,,,10,10,72,72,True,True,True,True,True,True,True,False,True,True,,,Already represented as OFFICIAL_PLAN_VIEW before this wave; academic and runtime data were left unchanged.
AH,الآداب و العلوم الإنسانية,Arts and Humanities,catalog-geography-and-geographic-information-systems,البكالوريوس في الجغرافيا ونظم المعلومات الجغرافية,Bachelor of Geography and Geographic Information Systems,CATALOG_ONLY,CATALOG_ONLY,,C. NEEDS_DETERMINISTIC_DISPLAY_NORMALIZATION,none,https://kau.edu.sa/ar/programs/geography-and-geographic-information-systems,https://kau.edu.sa/en/programs/geography-and-geographic-information-systems,,,10,10,94,94,True,True,True,True,False,False,True,True,True,True,,,"The current bilingual source exposes 94 level-like row occurrences plus 109 direct requirement/description rows, but four visible semester slots are empty and 72 courses are nested under a separate Required Courses level-like section. Exact-signature consolidation yields 92 identities / 266 visible credits, inconsistent with the committed 64-row / 183-credit expectation; unsafe deduplication was not attempted."
AH,الآداب و العلوم الإنسانية,Arts and Humanities,catalog-arts-and-humanities-bachelor-of-information-science,البكالوريوس في علم المعلومات,Bachelor of Information Science,FULL_PLANNER,FULL_PLANNER,catalog-arts-and-humanities-bachelor-of-information-science,F. ALREADY_SUPPORTED,none,https://kau.edu.sa/ar/programs/bachelor-of-information-science,https://kau.edu.sa/en/programs/bachelor-of-information-science,,,18,18,92,92,True,True,True,True,False,False,False,False,True,True,,,Already represented as FULL_PLANNER before this wave; academic and runtime data were left unchanged.
AH,الآداب و العلوم الإنسانية,Arts and Humanities,catalog-bachelor-of-sharia,البكالوريوس في الشريعة,Bachelor of Sharia,CATALOG_ONLY,CATALOG_ONLY,,E. UNRESOLVED_ACADEMIC_RULES,none,https://kau.edu.sa/ar/programs/bachelor-of-sharia,https://kau.edu.sa/en/programs/bachelor-of-sharia,,,18,18,206,206,True,True,True,True,True,True,True,True,False,False,,166,"The official narrative states 72 courses / 166 credits, while the structured payload exposes 18 level-like sections, 206 scheduled row occurrences, and 81 direct rows. The named eight-level schedule contains 71 rows / 128 credits and exact-signature consolidation yields 73 identities / 134 credits; elective-choice and zero-credit discrepancies require academic confirmation."
SC,العلوم,science,catalog-science-bachelor-of-biochemistry,بكالوريوس في الكيمياء الحيوية,Bachelor of Biochemistry,FULL_PLANNER,FULL_PLANNER,catalog-science-bachelor-of-biochemistry,F. ALREADY_SUPPORTED,none,https://kau.edu.sa/ar/programs/bachelors-program-of-biochemistry,https://kau.edu.sa/en/programs/bachelors-program-of-biochemistry,,,10,10,71,71,True,True,True,True,True,True,True,True,True,True,,,Already represented as FULL_PLANNER before this wave; academic and runtime data were left unchanged.
IT,الحاسبات وتقنية المعلومات,computing & information tech.,catalog-bachelor-of-science-in-computer-science,بكالوريوس العلوم في علوم الحاسبات,Bachelor of Science in Computer Science,OFFICIAL_PLAN_VIEW,OFFICIAL_PLAN_VIEW,,F. ALREADY_SUPPORTED,none,https://kau.edu.sa/ar/programs/bachelor-of-science-in-computer-science,https://kau.edu.sa/en/programs/bachelor-of-science-in-computer-science,,,10,10,50,50,True,True,True,True,True,True,False,False,True,True,,,Already represented as OFFICIAL_PLAN_VIEW before this wave; academic and runtime data were left unchanged.
IT,الحاسبات وتقنية المعلومات,computing & information tech.,catalog-bachelor-of-science-in-cybersecurity,بكالوريوس العلوم في الامن السيبراني,Bachelor of Science in Cybersecurity,OFFICIAL_PLAN_VIEW,OFFICIAL_PLAN_VIEW,,F. ALREADY_SUPPORTED,none,https://kau.edu.sa/ar/programs/bachelor-of-science-in-cybersecurity,https://kau.edu.sa/en/programs/bachelor-of-science-in-cybersecurity,,,10,10,42,42,True,True,True,True,False,False,False,False,True,True,,,Already represented as OFFICIAL_PLAN_VIEW before this wave; academic and runtime data were left unchanged.
IT,الحاسبات وتقنية المعلومات,computing & information tech.,catalog-computing-information-tech-bachelor-of-science-in-information-systems,بكالوريوس العلوم في نظم المعلومات,Bachelor of Science in Information Systems,FULL_PLANNER,FULL_PLANNER,catalog-computing-information-tech-bachelor-of-science-in-information-systems,F. ALREADY_SUPPORTED,none,https://kau.edu.sa/ar/programs/bachelor-of-science-in-information-systems,https://kau.edu.sa/en/programs/bachelor-of-science-in-information-systems,,,10,10,45,45,True,True,True,True,True,True,True,True,True,True,,,Already represented as FULL_PLANNER before this wave; academic and runtime data were left unchanged.
IT,الحاسبات وتقنية المعلومات,computing & information tech.,catalog-computing-information-tech-bachelor-of-science-in-information-technology,بكالوريوس العلوم في تقنية المعلومات,Bachelor of Science in Information Technology,FULL_PLANNER,FULL_PLANNER,catalog-computing-information-tech-bachelor-of-science-in-information-technology,F. ALREADY_SUPPORTED,none,https://kau.edu.sa/ar/programs/bachelor-of-science-in-information-technology,https://kau.edu.sa/en/programs/bachelor-of-science-in-information-technology,,,10,10,50,50,True,True,True,True,True,True,True,True,True,True,,,Already represented as FULL_PLANNER before this wave; academic and runtime data were left unchanged.
EN,الهندسة,ENGINEERING,catalog-engineering-bachelor-of-science-in-chemical-engineering,بكالوريوس العلوم في الهندسة الكيميائية,Bachelor of Science in Chemical Engineering,FULL_PLANNER,FULL_PLANNER,catalog-engineering-bachelor-of-science-in-chemical-engineering,F. ALREADY_SUPPORTED,none,https://kau.edu.sa/ar/programs/bachelor-of-science-in-chemical-engineering,https://kau.edu.sa/en/programs/bachelor-of-science-in-chemical-engineering,,,13,13,88,88,True,True,True,True,True,True,True,True,True,True,,155,Already represented as FULL_PLANNER before this wave; academic and runtime data were left unchanged.
EN,الهندسة,ENGINEERING,catalog-engineering-bachelor-of-science-in-civil-engineering,بكالوريوس العلوم في الهندسة المدنية,Bachelor of Science in Civil Engineering,CATALOG_ONLY,OFFICIAL_PLAN_VIEW,,B. OFFICIAL_PLAN_VIEW_READY,read_only_official_plan_view,https://kau.edu.sa/ar/programs/civil-engineering-bachelor-of-science,https://kau.edu.sa/en/programs/civil-engineering-bachelor-of-science,https://www.kau.edu.sa/ar/programs/bachelor-of-science-in-civil-engineering,https://www.kau.edu.sa/en/programs/bachelor-of-science-in-civil-engineering,14,14,91,91,True,True,True,True,True,True,True,True,True,True,,,"A current bilingual KAU alternate program page provides aligned scheduled levels, course names, numeric credits, raw requisite text, requirement/elective tables, training/project rows, and source-faithful placeholders. Unresolved values remain informational and the program is kept outside planner calculations and progress."
EN,الهندسة,ENGINEERING,catalog-engineering-bachelor-of-science-in-electrical-engineering-biomedical,بكالوريوس العلوم في الهندسة الكهربائية (طبية حيوية),Bachelor of Science in Electrical Engineering (Biomedical),CATALOG_ONLY,OFFICIAL_PLAN_VIEW,,B. OFFICIAL_PLAN_VIEW_READY,read_only_official_plan_view,https://kau.edu.sa/ar/programs/electrical-engineering-biomedical-bachelor-of-science,https://kau.edu.sa/en/programs/electrical-engineering-biomedical-bachelor-of-science,https://www.kau.edu.sa/ar/programs/bachelor-of-science-in-electrical-engineering-biomedical,https://www.kau.edu.sa/en/programs/bachelor-of-science-in-electrical-engineering-biomedical,13,13,88,88,True,True,True,True,True,True,True,True,True,True,,,"A current bilingual KAU alternate program page provides aligned scheduled levels, course names, numeric credits, raw requisite text, requirement/elective tables, training/project rows, and source-faithful placeholders. Unresolved values remain informational and the program is kept outside planner calculations and progress."
EN,الهندسة,ENGINEERING,catalog-engineering-bachelor-of-science-in-electrical-engineering-computer,بكالوريوس العلوم في الهندسة الكهربائية (حاسبات),Bachelor of Science in Electrical Engineering (Computer),CATALOG_ONLY,OFFICIAL_PLAN_VIEW,,B. OFFICIAL_PLAN_VIEW_READY,read_only_official_plan_view,https://kau.edu.sa/ar/programs/electrical-engineering-computer-bachelor-of-science,https://kau.edu.sa/en/programs/electrical-engineering-computer-bachelor-of-science,https://www.kau.edu.sa/ar/programs/bachelor-of-science-in-electrical-engineering-computer,https://www.kau.edu.sa/en/programs/bachelor-of-science-in-electrical-engineering-computer,13,13,88,88,True,True,True,True,True,True,True,True,True,True,,,"A current bilingual KAU alternate program page provides aligned scheduled levels, course names, numeric credits, raw requisite text, requirement/elective tables, training/project rows, and source-faithful placeholders. Unresolved values remain informational and the program is kept outside planner calculations and progress."
EN,الهندسة,ENGINEERING,catalog-engineering-bachelor-of-science-in-electrical-engineering-electronics-and-communic,بكالوريوس العلوم في الهندسة الكهربائية (إلكترونيات و إتصالات),Bachelor of Science in Electrical Engineering (Electronics and Communications),CATALOG_ONLY,OFFICIAL_PLAN_VIEW,,B. OFFICIAL_PLAN_VIEW_READY,read_only_official_plan_view,https://kau.edu.sa/ar/programs/electrical-engineering-electronics-and-communications-bachelor-of-science,https://kau.edu.sa/en/programs/electrical-engineering-electronics-and-communications-bachelor-of-science,https://www.kau.edu.sa/ar/programs/bachelor-of-science-in-electrical-engineering-electronics-and-communications,https://www.kau.edu.sa/en/programs/bachelor-of-science-in-electrical-engineering-electronics-and-communications,13,13,87,87,True,True,True,True,True,True,True,True,True,True,,,"A current bilingual KAU alternate program page provides aligned scheduled levels, course names, numeric credits, raw requisite text, requirement/elective tables, training/project rows, and source-faithful placeholders. Unresolved values remain informational and the program is kept outside planner calculations and progress."
