program_id,faculty_id,faculty_name_ar,faculty_name_en,program_name_ar,program_name_en,previous_coverage_state,final_coverage_state,final_classification,implementation_result,planner_available,planner_data_key,scheduled_level_count,scheduled_row_count,scheduled_visible_credit_sum,scheduled_zero_credit_count,published_prerequisite_row_count,elective_section_count,official_total_credits,source_url_ar,source_url_en,capture_count,blocker_or_read_only_limit
catalog-geography-and-geographic-information-systems,AH,الآداب و العلوم الإنسانية,Arts and Humanities,البكالوريوس في الجغرافيا ونظم المعلومات الجغرافية,Bachelor of Geography and Geographic Information Systems,CATALOG_ONLY,CATALOG_ONLY,NEEDS_SAFE_DISPLAY_NORMALIZATION,unchanged_catalog_only,False,,8,22,60,0,44,1,,https://kau.edu.sa/ar/programs/geography-and-geographic-information-systems,https://kau.edu.sa/en/programs/geography-and-geographic-information-systems,2,"Only Levels 1-4 contain scheduled rows; Levels 5-8 are empty while 72 rows appear under Required Courses. The published placement cannot be reconstructed safely, and the prior exact-signature review yielded 92 identities / 266 display credits rather than a reconciled schedule."
catalog-bachelor-of-sharia,AH,الآداب و العلوم الإنسانية,Arts and Humanities,البكالوريوس في الشريعة,Bachelor of Sharia,CATALOG_ONLY,CATALOG_ONLY,UNRESOLVED_ACADEMIC_RULES,unchanged_catalog_only,False,,8,71,128,9,197,1,166,https://kau.edu.sa/ar/programs/bachelor-of-sharia,https://kau.edu.sa/en/programs/bachelor-of-sharia,2,"The narrative states 72 courses / 166 credits, but the eight scheduled levels contain 71 rows / 128 visible credits and eight coded courses publish zero credits. Requirement/elective tables also do not reconcile without academic interpretation."
catalog-law,RB,الاعمال - رابغ,business-rabigh,بكالوريوس القانون,LAW,CATALOG_ONLY,OFFICIAL_PLAN_VIEW,OFFICIAL_PLAN_VIEW_READY,added_read_only_official_plan_view,False,,8,44,128,0,71,1,,https://kau.edu.sa/ar/programs/law,https://kau.edu.sa/en/programs/law,2,No FULL_PLANNER promotion: three elective slots and seven official options are published without an explicit selection mapping. The source is safe for read-only display.
catalog-markting,RB,الاعمال - رابغ,business-rabigh,بكالوريوس  التسويق,MARKTING,CATALOG_ONLY,OFFICIAL_PLAN_VIEW,NEEDS_SAFE_DISPLAY_NORMALIZATION,added_read_only_official_plan_view,False,,8,44,128,0,49,1,,https://kau.edu.sa/ar/programs/markting,https://kau.edu.sa/en/programs/markting,2,"No FULL_PLANNER promotion: the official page publishes three elective slots, 21 options, and nine university/faculty requirement rows absent from the schedule. They are preserved as unplaced read-only rows without reconciliation."
ri-bachelor-computer-science,RI,الحاسبات وتقنية المعلومات-رابغ,computing&inform.techn.-rabigh,بكالوريوس علوم الحاسبات,Bachelor of Computer Science,CATALOG_ONLY,CATALOG_ONLY,MISSING_OFFICIAL_SOURCE,unchanged_catalog_only,False,,0,0,0,0,0,0,,https://kau.edu.sa/faculty/ar/computing-it-rabigh,https://kau.edu.sa/faculty/en/computing-it-rabigh,3,"The current bilingual faculty pages confirm the program but publish no coded, credit-bearing levels or accessible current study-plan document. A legacy indexed handbook is currently unavailable (HTTP 404)."
ri-bachelor-information-systems,RI,الحاسبات وتقنية المعلومات-رابغ,computing&inform.techn.-rabigh,بكالوريوس نظم المعلومات,Bachelor of Information Systems,CATALOG_ONLY,CATALOG_ONLY,MISSING_OFFICIAL_SOURCE,unchanged_catalog_only,False,,0,0,0,0,0,0,,https://kau.edu.sa/faculty/ar/computing-it-rabigh,https://kau.edu.sa/faculty/en/computing-it-rabigh,3,"The current bilingual faculty pages confirm the program but publish no coded, credit-bearing levels or accessible current study-plan document. A legacy indexed handbook is currently unavailable (HTTP 404)."
ri-bachelor-information-technology,RI,الحاسبات وتقنية المعلومات-رابغ,computing&inform.techn.-rabigh,بكالوريوس تقنية المعلومات,Bachelor of Information Technology,CATALOG_ONLY,CATALOG_ONLY,MISSING_OFFICIAL_SOURCE,unchanged_catalog_only,False,,0,0,0,0,0,0,,https://kau.edu.sa/faculty/ar/computing-it-rabigh,https://kau.edu.sa/faculty/en/computing-it-rabigh,3,"The current bilingual faculty pages confirm the program but publish no coded, credit-bearing levels or accessible current study-plan document. A legacy flowchart is image-only and dated 1432/1433 AH, so it is not treated as the current authoritative schedule."
catalog-nautical-science,MS,الدراسات البحرية,maritime studies,بكالوريوس الملاحة البحرية,Bachelor of Nautical Science,CATALOG_ONLY,CATALOG_ONLY,MISSING_OFFICIAL_SOURCE,unchanged_catalog_only,False,,0,0,0,0,0,0,,https://kau.edu.sa/ar/programs/nautical-science,https://kau.edu.sa/en/programs/nautical-science,3,The current catalog route returns the KAU 404 response and the current faculty pages publish program narrative/training information but no coded levels with credits. The earlier discovery count cannot be reproduced from a retained current source.
catalog-bachelor-event-management,TU,السياحة,tourism,بكالوريوس إدارة الفعاليات والمناسبات,Bachelor Event Management,CATALOG_ONLY,CATALOG_ONLY,SOURCE_CONFLICT,unchanged_catalog_only,False,,8,41,113,0,0,1,132,https://kau.edu.sa/ar/programs/bachelor-event-management,https://kau.edu.sa/en/programs/bachelor-event-management,3,"The structured page exposes 8 scheduled levels / 41 rows / 113 display credits, while its linked official BS-EM-TU PDF publishes 9 levels and 132 total credits. Resolving the competing schedules would require academic interpretation."
catalog-tourism-travel-and-tourism-management,TU,السياحة,tourism,بكالوريوس إدارة السفر والسياحة,Bachelor of Travel and Tourism Management,CATALOG_ONLY,CATALOG_ONLY,SOURCE_CONFLICT,unchanged_catalog_only,False,,8,43,104,1,3,0,132,https://kau.edu.sa/ar/programs/bachelor-of-travel-and-tourism-management,https://kau.edu.sa/en/programs/bachelor-of-travel-and-tourism-management,3,The structured page states 132 total credits but its 8 scheduled levels sum to 104 visible credits (including TT 232 at zero); a separately linked official PDF cannot be reconciled to those rows deterministically.
catalog-applied-medica-sciences-bachelor-of-medical-laboratory-sciences,AM,العلوم الطبية التطبيقية,Applied Medica.Sciences,بكلوريوس علوم المختبرات الطبية,Bachelor of Medical Laboratory Sciences,CATALOG_ONLY,CATALOG_ONLY,MISSING_OFFICIAL_SOURCE,unchanged_catalog_only,False,,0,0,0,0,0,0,,https://kau.edu.sa/ar/programs/medical-laboratory-sciences,https://kau.edu.sa/en/programs/medical-laboratory-sciences,3,The current bilingual program route returns the KAU 404 response. Current department pages confirm the degree but provide no accessible coded schedule with credits.
catalog-applied-medica-sciences-bachelor-of-radiologic-sciences,AM,العلوم الطبية التطبيقية,Applied Medica.Sciences,بكالوريوس علوم الأشعة,Bachelor of Radiologic Sciences,CATALOG_ONLY,CATALOG_ONLY,MISSING_OFFICIAL_SOURCE,unchanged_catalog_only,False,,0,0,0,0,0,0,,https://kau.edu.sa/ar/programs/radiologic-sciences,https://kau.edu.sa/en/programs/radiologic-sciences,3,The current bilingual program route returns the KAU 404 response. Current department pages confirm the degree but provide no accessible coded schedule with credits.
catalog-english,RS,العلوم و الآداب - رابغ,science&arts-rabigh,بكالوريوس الآداب في اللغة الإنجليزية,Bachelor of Arts in English Language,CATALOG_ONLY,CATALOG_ONLY,MISSING_OFFICIAL_SOURCE,unchanged_catalog_only,False,,0,0,0,0,0,0,,https://kau.edu.sa/ar/programs/english,https://kau.edu.sa/en/programs/english,3,The current bilingual program route returns the KAU 404 response and no current official coded study plan was found for the Rabigh program.
catalog-engineering-rabigh-electrical-engineering,RE,الهندسة - رابغ,engineering-rabigh,الهندسة الكهربائية,Electrical Engineering,CATALOG_ONLY,CATALOG_ONLY,MISSING_OFFICIAL_SOURCE,unchanged_catalog_only,False,,0,0,0,0,0,0,,https://kau.edu.sa/ar/programs/electrical-engineering,https://kau.edu.sa/en/programs/electrical-engineering,3,"The current program route returns the KAU 404 response; faculty pages describe training, projects, and electives but publish no coded level rows with credits."
catalog-engineering-rabigh-industrial-engineering,RE,الهندسة - رابغ,engineering-rabigh,الهندسة الصناعية,Industrial Engineering,CATALOG_ONLY,CATALOG_ONLY,MISSING_OFFICIAL_SOURCE,unchanged_catalog_only,False,,0,0,0,0,0,0,,https://kau.edu.sa/ar/programs/industrial-engineering,https://kau.edu.sa/en/programs/industrial-engineering,3,The current program route returns the KAU 404 response; faculty pages describe the curriculum but publish no coded level rows with credits.
catalog-engineering-rabigh-mechanical-engineering,RE,الهندسة - رابغ,engineering-rabigh,الهندسة الميكانيكية,Mechanical Engineering,CATALOG_ONLY,CATALOG_ONLY,MISSING_OFFICIAL_SOURCE,unchanged_catalog_only,False,,0,0,0,0,0,0,,https://kau.edu.sa/ar/programs/mechanical-engineering,https://kau.edu.sa/en/programs/mechanical-engineering,3,The current program route returns the KAU 404 response; faculty pages describe the curriculum but publish no coded level rows with credits.
catalog-bachelor-fashion-and-textile-technology,HD,علوم الإنسان والتصاميم,HUMAN SCIENCES AND DESIGN,بكالوريوس تكنولوجيا الأزياء والنسيج,Bachelor Fashion and Textile Technology,CATALOG_ONLY,CATALOG_ONLY,SOURCE_CONFLICT,unchanged_catalog_only,False,,8,44,108,6,47,1,,https://kau.edu.sa/ar/programs/bachelor-fashion-and-textile-technology,https://kau.edu.sa/en/programs/bachelor-fashion-and-textile-technology,2,The same published code أ ن 439 has conflicting bilingual identities (Research Project I in compulsory requirements and Research Project II in the schedule/course descriptions). Course identity cannot be resolved safely.
catalog-food-and-nutrition,HD,علوم الإنسان والتصاميم,HUMAN SCIENCES AND DESIGN,بكالوريوس الغذاء والتغذية,Bachelor Food and Nutrition,CATALOG_ONLY,CATALOG_ONLY,MISSING_OFFICIAL_SOURCE,unchanged_catalog_only,False,,0,0,0,0,0,0,,https://kau.edu.sa/ar/programs/food-and-nutrition,https://kau.edu.sa/en/programs/food-and-nutrition,3,The current bilingual program route returns the KAU 404 response and no current official coded schedule with credits was found.
catalog-bachelor-of-fashion-industry-for-individuals-with-severe-hearing-disabilities,HD,علوم الإنسان والتصاميم,HUMAN SCIENCES AND DESIGN,بكالوريوس صناعة الأزياء لذوى الإعاقة السمعية الشديدة,Bachelor of Fashion Industry for Individuals with Severe Hearing Disabilities,CATALOG_ONLY,OFFICIAL_PLAN_VIEW,NEEDS_SAFE_DISPLAY_NORMALIZATION,added_read_only_official_plan_view,False,,8,44,109,6,30,1,,https://kau.edu.sa/ar/programs/bachelor-of-fashion-industry-for-individuals-with-severe-hearing-disabilities,https://kau.edu.sa/en/programs/bachelor-of-fashion-industry-for-individuals-with-severe-hearing-disabilities,2,"No FULL_PLANNER promotion: zero-credit elective placeholders, two unplaced university rows, and the dual compulsory/elective listing of أ ن 473 remain unresolved. All are preserved source-faithfully in a read-only view."
