program_id,faculty_id,faculty_name_ar,faculty_name_en,program_name_ar,program_name_en,degree_level,plan_found,source_type,levels_found,courses_found,course_codes_available,credit_hours_available,prerequisites_available,electives_identified,source_date_version,extraction_confidence,recommended_status,source_url_ar,source_url_en
catalog-bachelor-of-journalism-and-digital-media-program,CM,الاتصال والإعلام,communications&media,برنامج بكالوريوس الصحافة والإعلام الرقمي,Bachelor of Journalism and Digital Media Program,bachelor,True,rendered_html_embedded_structured_data,8,44,True,True,True,True,,high,ready_to_import,https://kau.edu.sa/ar/programs/bachelor-of-journalism-and-digital-media-program,https://kau.edu.sa/en/programs/bachelor-of-journalism-and-digital-media-program
catalog-bachelor-of-science-in-cybersecurity,IT,الحاسبات وتقنية المعلومات,computing & information tech.,بكالوريوس العلوم في الامن السيبراني,Bachelor of Science in Cybersecurity,bachelor,True,rendered_html_embedded_structured_data,10,42,True,True,True,False,16/07/2026,high,ready_to_import,https://kau.edu.sa/ar/programs/bachelor-of-science-in-cybersecurity,https://kau.edu.sa/en/programs/bachelor-of-science-in-cybersecurity
catalog-bachelor-of-medical-laboratories-science,RA,العلوم الطبية التطبيقية- رابغ,Applied Medica.Sciences-rabigh,بكالوريوس علوم المختبرات الطبية,Bachelor of Medical Laboratories Science,bachelor,True,rendered_html_embedded_structured_data,8,47,True,True,True,True,12/07/2026,high,ready_to_import,https://kau.edu.sa/ar/programs/bachelor-of-medical-laboratories-science,https://kau.edu.sa/en/programs/bachelor-of-medical-laboratories-science
catalog-bachelor-in-french-language-translation,AH,الآداب و العلوم الإنسانية,Arts and Humanities,البكالوريوس في اللغة الفرنسية والترجمة,Bachelor in French Language & Translation,bachelor,True,rendered_html_embedded_structured_data,12,139,True,True,True,True,09/07/2026,medium,requires_manual_review,https://kau.edu.sa/ar/programs/bachelor-in-french-language-translation,https://kau.edu.sa/en/programs/bachelor-in-french-language-translation
catalog-chinese-language,AH,الآداب و العلوم الإنسانية,Arts and Humanities,البكالوريوس في اللغة الصينية,Bachelor of Chinese Language,bachelor,True,rendered_html_embedded_structured_data,10,76,True,True,True,True,15/07/2026,medium,requires_manual_review,https://kau.edu.sa/ar/programs/chinese-language,https://kau.edu.sa/en/programs/chinese-language
catalog-counseling-psychology,AH,الآداب و العلوم الإنسانية,Arts and Humanities,البكالوريوس في علم النفس الإرشادي,Bachelor of Counseling Psychology,bachelor,True,rendered_html_embedded_structured_data,10,72,True,True,True,True,12/07/2026,medium,requires_manual_review,https://kau.edu.sa/ar/programs/counseling-psychology,https://kau.edu.sa/en/programs/counseling-psychology
catalog-geography-and-geographic-information-systems,AH,الآداب و العلوم الإنسانية,Arts and Humanities,البكالوريوس في الجغرافيا ونظم المعلومات الجغرافية,Bachelor of Geography and Geographic Information Systems,bachelor,True,rendered_html_embedded_structured_data,10,94,True,True,True,False,13/07/2026,medium,requires_manual_review,https://kau.edu.sa/ar/programs/geography-and-geographic-information-systems,https://kau.edu.sa/en/programs/geography-and-geographic-information-systems
catalog-bachelor-of-visual-and-audio-production-program,CM,الاتصال والإعلام,communications&media,برنامج بكالوريوس الإنتاج المرئي والمسموع,Bachelor of Visual and Audio Production Program,bachelor,True,rendered_html_embedded_structured_data,8,45,True,True,True,True,15/07/2026,medium,requires_manual_review,https://kau.edu.sa/ar/programs/bachelor-of-visual-and-audio-production-program,https://kau.edu.sa/en/programs/bachelor-of-visual-and-audio-production-program
catalog-political-science,EA,الاقتصاد والادارة,economics and administration,بكالوريوس العلوم السياسية,Political Science,bachelor,True,rendered_html_embedded_structured_data,8,46,True,True,True,True,12/07/2026,medium,requires_manual_review,https://kau.edu.sa/ar/programs/political-science,https://kau.edu.sa/en/programs/political-science
catalog-engineering-bachelor-of-science-in-civil-engineering,EN,الهندسة,ENGINEERING,بكالوريوس العلوم في الهندسة المدنية,Bachelor of Science in Civil Engineering,bachelor,True,rendered_html_embedded_structured_data,13,68,True,True,True,True,16/07/2026,medium,requires_manual_review,https://kau.edu.sa/ar/programs/civil-engineering-bachelor-of-science,https://kau.edu.sa/en/programs/civil-engineering-bachelor-of-science
catalog-engineering-bachelor-of-science-in-electrical-engineering-biomedical,EN,الهندسة,ENGINEERING,بكالوريوس العلوم في الهندسة الكهربائية (طبية حيوية),Bachelor of Science in Electrical Engineering (Biomedical),bachelor,True,rendered_html_embedded_structured_data,12,67,True,True,True,True,,medium,requires_manual_review,https://kau.edu.sa/ar/programs/electrical-engineering-biomedical-bachelor-of-science,https://kau.edu.sa/en/programs/electrical-engineering-biomedical-bachelor-of-science
catalog-engineering-bachelor-of-science-in-electrical-engineering-computer,EN,الهندسة,ENGINEERING,بكالوريوس العلوم في الهندسة الكهربائية (حاسبات),Bachelor of Science in Electrical Engineering (Computer),bachelor,True,rendered_html_embedded_structured_data,12,67,True,True,True,True,16/07/2026,medium,requires_manual_review,https://kau.edu.sa/ar/programs/electrical-engineering-computer-bachelor-of-science,https://kau.edu.sa/en/programs/electrical-engineering-computer-bachelor-of-science
catalog-engineering-bachelor-of-science-in-electrical-engineering-electronics-and-communic,EN,الهندسة,ENGINEERING,بكالوريوس العلوم في الهندسة الكهربائية (إلكترونيات و إتصالات),Bachelor of Science in Electrical Engineering (Electronics and Communications),bachelor,True,rendered_html_embedded_structured_data,12,66,True,True,True,True,,medium,requires_manual_review,https://kau.edu.sa/ar/programs/electrical-engineering-electronics-and-communications-bachelor-of-science,https://kau.edu.sa/en/programs/electrical-engineering-electronics-and-communications-bachelor-of-science
catalog-engineering-bachelor-of-science-in-mechanical-engineering-aeronautical,EN,الهندسة,ENGINEERING,بكالوريوس العلوم في الهندسة الميكانيكية (طيران),Bachelor of Science in Mechanical Engineering (Aeronautical),bachelor,True,rendered_html_embedded_structured_data,12,68,True,True,True,True,16/07/2026,medium,requires_manual_review,https://kau.edu.sa/ar/programs/mechanical-engineering-aeronautical-bachelor-of-science,https://kau.edu.sa/en/programs/mechanical-engineering-aeronautical-bachelor-of-science
